_source,_record,kind,system,R,basis,nao,E,converged,wall_s,phase,M,seed,peak_gpu_mb,peak_train_mb,E_grid5,grid_bias_mha,steps,mol
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35802401,,101,cold,60,2,208,208,-107.35823634,0.21232613,,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35662856,,101,cold,60,0,208,208,-107.35658764,-0.04092075,,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35568068,,101,cold,60,1,208,208,-107.35563534,-0.04533544,,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35834984,,101,cold,60,2,208,208,-107.35838278,0.03294276,,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35472855,,102,cold,60,0,208,208,-107.35468049,-0.04805283,,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35622106,,101,cold,60,1,208,208,-107.35615012,-0.07094796,,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35736008,,100,cold,60,2,208,208,-107.35730234,-0.05774322,,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35247695,,101,cold,60,0,208,208,-107.35243193,-0.04502391,,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35211491,,102,cold,60,1,208,208,-107.35204120,-0.07370582,,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35517861,,99,cold,60,2,208,208,-107.35510538,-0.07322910,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.34929700,,99,cold,60,0,208,208,-107.34931466,0.01766524,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.35121687,,99,cold,60,1,208,208,-107.35120974,-0.00713342,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.35156837,,99,cold,60,2,208,208,-107.35153488,-0.03348761,,
exp3_lih_dissociation,RESULT,splat,lif,1.20000000,,,-107.27904182,,128,warm,60,0,,,-107.27931890,0.27707895,12000,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.36902461,,102,warm,60,0,,,-107.36966946,0.64485209,12000,
exp3_lih_dissociation,RESULT,splat,lif,1.80000000,,,-107.35134570,,102,warm,60,0,,,-107.35133318,-0.01251492,12000,
exp3_lih_dissociation,RESULT,splat,lif,2.20000000,,,-107.31896377,,102,warm,60,0,,,-107.31900359,0.03981643,12000,
exp3_lih_dissociation,RESULT,splat,lif,2.80000000,,,-107.27244808,,102,warm,60,0,,,-107.27246027,0.01218896,12000,
exp3_lih_dissociation,RESULT,splat,lif,3.50000000,,,-107.23597583,,103,warm,60,0,,,-107.23591335,-0.06248083,12000,
exp3_lih_dissociation,RESULT,splat,lif,4.50000000,,,-107.20755519,,102,warm,60,0,,,-107.20763789,0.08269817,12000,
exp3_lih_dissociation,RESULT,splat,lif,6.00000000,,,-107.18943316,,103,warm,60,0,,,-107.18966270,0.22953673,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95267606,,89,warm,19,0,,,-7.95266822,-0.00784563,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03154256,,64,warm,19,0,,,-8.03153846,-0.00409552,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04712146,,64,warm,19,0,,,-8.04712235,0.00089501,12000,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03567559,,64,warm,19,0,,,-8.03567608,0.00048122,12000,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.01012939,,64,warm,19,0,,,-8.01013076,0.00137674,12000,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.98685780,,64,warm,19,0,,,-7.98685870,0.00089258,12000,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.96907810,,64,warm,19,0,,,-7.96907520,-0.00290645,12000,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.95649623,,65,warm,19,0,,,-7.95649495,-0.00127336,12000,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.94776877,,65,warm,19,0,,,-7.94777021,0.00143366,12000,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.94223207,,66,warm,19,0,,,-7.94223208,0.00001066,12000,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.93550985,,65,warm,19,0,,,-7.93549981,-0.01004069,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95576505,,105,warm,44,0,,,-7.95579828,0.03323173,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03478145,,80,warm,44,0,,,-8.03469544,-0.08601079,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.05049353,,81,warm,44,0,,,-8.05031894,-0.17459043,12000,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03925921,,81,warm,44,0,,,-8.03916259,-0.09662240,12000,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.01383945,,82,warm,44,0,,,-8.01379772,-0.04172689,12000,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.99373742,,82,warm,44,0,,,-7.99375893,0.02151186,12000,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.97611176,,81,warm,44,0,,,-7.97613933,0.02756603,12000,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.98843928,,82,warm,44,0,,,-7.98900675,0.56746734,12000,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.95672123,,81,warm,44,0,,,-7.95680659,0.08535215,12000,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.95116775,,82,warm,44,0,,,-7.95126854,0.10078947,12000,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.94443289,,82,warm,44,0,,,-7.94454330,0.11041006,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95976776,,262,warm,85,0,,,-7.95982835,0.06058945,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.06753881,,235,warm,85,0,,,-8.06779872,0.25991085,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.08627148,,235,warm,85,0,,,-8.08607076,-0.20072640,12000,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.07349679,,235,warm,85,0,,,-8.07314167,-0.35511350,12000,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.02411773,,235,warm,85,0,,,-8.02219401,-1.92372205,12000,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-8.00079734,,235,warm,85,0,,,-7.99946536,-1.33197340,12000,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.98347118,,236,warm,85,0,,,-7.98293183,-0.53934963,12000,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.97121202,,236,warm,85,0,,,-7.97068409,-0.52793037,12000,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.96428611,,236,warm,85,0,,,-7.96272018,-1.56593237,12000,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.95659706,,236,warm,85,0,,,-7.95620484,-0.39222148,12000,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.95070847,,234,warm,85,0,,,-7.94993871,-0.76975883,12000,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95107316,,31,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95301550,,42,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95326282,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95330792,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95337423,,53,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03120816,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03160157,,42,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03156893,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03165856,,47,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03177952,,53,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04634072,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04697159,,41,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04695795,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04703573,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04716909,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03508073,,29,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03533315,,42,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03549072,,38,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03558284,,47,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.00000000,,,-8.03567884,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.00969471,,30,,19,0,87,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.00987371,,43,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.01000797,,38,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.01006851,,49,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,2.50000000,,,-8.01016943,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.98638857,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.98659117,,42,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.98686145,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.98693353,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.00000000,,,-7.98689036,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.96877888,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.96900437,,43,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.96916522,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.96907872,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,3.50000000,,,-7.96927381,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.95617090,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.93184816,,43,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.95643861,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.95636771,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.00000000,,,-7.93223027,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.94701022,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.92980176,,42,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.94763979,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.94766910,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,4.50000000,,,-7.93017862,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.94081076,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.92993854,,43,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.94171443,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.94183996,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,5.00000000,,,-7.93000700,,52,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.93406506,,30,,19,0,88,,,,,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.93004841,,43,,38,0,158,,,,,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.93502049,,39,,57,0,198,,,,,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.93487983,,48,,76,0,285,,,,,
exp3_lih_dissociation,RESULT,splat,lih,6.00000000,,,-7.93033237,,53,,95,0,361,,,,,
exp3_lih_dissociation,RESULT,splat_warm,,1.000,,,-7.9533384479,,112,,44,,,,-7.9533378851,-0.00,4000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.300,,,-8.0318209278,,51,,44,,,,-8.0318059963,-0.01,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.600,,,-8.0481938395,,49,,44,,,,-8.0467868702,-1.41,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.000,,,-8.0358834224,,51,,44,,,,-8.0357980458,-0.09,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.500,,,-8.0103727019,,51,,44,,,,-8.0103213588,-0.05,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.000,,,-7.9875889004,,50,,44,,,,-7.9869266683,-0.66,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.500,,,-7.9695606579,,50,,44,,,,-7.9695177823,-0.04,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.000,,,-7.9572361418,,50,,44,,,,-7.9571741415,-0.06,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.500,,,-7.9497691288,,50,,44,,,,-7.9496245374,-0.14,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,5.000,,,-7.9451033757,,50,,44,,,,-7.9451083112,+0.00,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,6.000,,,-7.9387185521,,50,,44,,,,-7.9387426618,+0.02,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.000,,,-7.9534168391,,143,,85,,,,-7.9534157755,-0.00,4000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.300,,,-8.0414245857,,61,,85,,,,-8.0415383313,+0.11,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.600,,,-8.0505138592,,60,,85,,,,-8.0505889110,+0.08,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.000,,,-8.0394406352,,60,,85,,,,-8.0395352109,+0.09,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.500,,,-8.0184359037,,59,,85,,,,-8.0185275169,+0.09,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.000,,,-8.0003085134,,60,,85,,,,-8.0007043510,+0.40,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.500,,,-7.9753684302,,62,,85,,,,-7.9754165506,+0.05,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.000,,,-7.9633794004,,60,,85,,,,-7.9628823159,-0.50,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.500,,,-7.9556712097,,60,,85,,,,-7.9556816696,+0.01,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,5.000,,,-7.9510878288,,61,,85,,,,-7.9510469865,-0.04,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,6.000,,,-7.9445481085,,60,,85,,,,-7.9444006253,-0.15,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.000,,,-7.9533384479,,112,,44,,,,-7.9533378851,-0.00,4000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.300,,,-8.0318209278,,51,,44,,,,-8.0318059963,-0.01,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.600,,,-8.0481938395,,49,,44,,,,-8.0467868702,-1.41,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.000,,,-8.0358834224,,51,,44,,,,-8.0357980458,-0.09,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.500,,,-8.0103727019,,51,,44,,,,-8.0103213588,-0.05,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.000,,,-7.9875889004,,50,,44,,,,-7.9869266683,-0.66,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.500,,,-7.9695606579,,50,,44,,,,-7.9695177823,-0.04,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.000,,,-7.9572361418,,50,,44,,,,-7.9571741415,-0.06,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.500,,,-7.9497691288,,50,,44,,,,-7.9496245374,-0.14,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,5.000,,,-7.9451033757,,50,,44,,,,-7.9451083112,+0.00,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,6.000,,,-7.9387185521,,50,,44,,,,-7.9387426618,+0.02,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.000,,,-7.9534168391,,143,,85,,,,-7.9534157755,-0.00,4000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.300,,,-8.0414245857,,61,,85,,,,-8.0415383313,+0.11,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.600,,,-8.0505138592,,60,,85,,,,-8.0505889110,+0.08,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.000,,,-8.0394406352,,60,,85,,,,-8.0395352109,+0.09,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,2.500,,,-8.0184359037,,59,,85,,,,-8.0185275169,+0.09,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.000,,,-8.0003085134,,60,,85,,,,-8.0007043510,+0.40,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,3.500,,,-7.9753684302,,62,,85,,,,-7.9754165506,+0.05,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.000,,,-7.9633794004,,60,,85,,,,-7.9628823159,-0.50,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,4.500,,,-7.9556712097,,60,,85,,,,-7.9556816696,+0.01,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,5.000,,,-7.9510878288,,61,,85,,,,-7.9510469865,-0.04,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,6.000,,,-7.9445481085,,60,,85,,,,-7.9444006253,-0.15,2000,lih
exp3_lih_dissociation,RESULT,splat_warm,,1.200,,,-107.2338369518,,166,,60,,,,-107.2339097382,+0.07,4000,lif
exp3_lih_dissociation,RESULT,splat_warm,,1.500,,,-107.3315967706,,91,,60,,,,-107.3316082065,+0.01,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,1.800,,,-107.3318285286,,85,,60,,,,-107.3318497611,+0.02,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,2.200,,,-107.3087747229,,81,,60,,,,-107.3089400895,+0.17,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,2.800,,,-107.2639215756,,85,,60,,,,-107.2639250364,+0.00,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,3.500,,,-107.2299508913,,125,,60,,,,-107.2299353781,-0.02,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,4.500,,,-107.2033302956,,86,,60,,,,-107.2033262584,-0.00,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,6.000,,,-107.1860602617,,73,,60,,,,-107.1860556033,-0.00,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,1.200,,,-107.2603603398,,141,,110,,,,-107.2604035130,+0.04,4000,lif
exp3_lih_dissociation,RESULT,splat_warm,,1.500,,,-107.3653613349,,72,,110,,,,-107.3569093533,-8.45,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,1.800,,,-107.3700809857,,70,,110,,,,-107.3703583548,+0.28,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,2.200,,,-107.3201786858,,63,,110,,,,-107.3199195082,-0.26,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,2.800,,,-107.2712795030,,62,,110,,,,-107.2712447287,-0.03,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,3.500,,,-107.2365598473,,62,,110,,,,-107.2354887194,-1.07,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,4.500,,,-107.2097117903,,62,,110,,,,-107.2096774795,-0.03,2000,lif
exp3_lih_dissociation,RESULT,splat_warm,,6.000,,,-107.1931264570,,63,,110,,,,-107.1931005234,-0.03,2000,lif
exp3_lih_dissociation,RESULT,splat,lih,1.00000000,,,-7.95110382,,69,warm,19,0,,,-7.95109512,-0.00869808,4000,
exp3_lih_dissociation,RESULT,splat,lih,1.30000000,,,-8.03113815,,23,warm,19,0,,,-8.03113484,-0.00331269,2000,
exp3_lih_dissociation,RESULT,splat,lih,1.60000000,,,-8.04671432,,12,warm,19,0,,,-8.04671552,0.00119446,2000,
